league_type,match_time,match_duration,team1,score,team2,half_score
哥伦甲春,补8',90+1,佩雷拉,2vs0,福塔雷扎CEIF,1vs0
巴圣锦标,06:00,中,迈拉索尔SP,3vs0,圣安德雷SP,3vs0
巴伯联,06:00,中,瑞特PE,0vs0,马古利PE,0vs0
巴高联,06:00,中,古亚尔尼巴热RS,0vs0,塞卡西亚斯RS,0vs0
巴伊联,06:00,中,庞巴尔,0vs1,圣保罗水晶PB,0vs1
巴卡皮联,06:00,中,维多利亚ES,1vs0,费罗维里亚ES,1vs0
墨康杯,06:00,中,颂娜C队,1vs1,洛斯卡沃斯联,1vs1
巴皮联,06:00,48,富明尼斯PI,2vs0,科瑞萨巴PI,2vs0
巴圣锦标,08:00,完,甘美奥诺瓦里桑蒂诺SP,0vs2,红牛伯拉根森SP,0vs0
阿后备,08:00,完,科尔多瓦圣地亚哥中央 (后备),1vs0,塔勒雷斯 (后备),0vs0
阿后备,08:00,完,独立队 (后备),1vs0,萨尔米安杜竹宁 (后备),1vs0
自由杯,08:30,完,欧若拉,1vs0,梅加,1vs0
里约锦TG,08:30,完,法林明高RJ,1vs0,博塔福格RJ,0vs0
巴圣锦标,08:30,完,圣贝纳多SP,1vs0,波图加沙SP,1vs0
巴卡德联,08:30,完,积安维尔SC,2vs2,阿瓦伊SC,0vs2
巴高联,08:30,完,圣塔库鲁RS,0vs2,国际体育会RS,0vs2
巴巴亚联,08:30,完,巴海亚BA,5vs0,伊塔布纳BA,1vs0
巴圣锦标,08:35,完,圣保罗SP,3vs0,阿故圣塔SP,1vs0
阿根廷杯,08:45,完,河床(中),3vs0,伊希库斯尼斯塔,0vs0
乌拉业余杯,08:50,完,国都洗衣厂,7vs0,三十三内陆,3vs0
乌拉业余杯,08:50,完,特雷斯省,6vs0,内拉瓦莱哈,3vs0
美冠杯,09:00,完,霍格,1vs3,瓜达拉哈拉芝华士,1vs2
哥伦甲春,09:00,完,米伦拿列奥,1vs0,卡利阿美利加,0vs0
萨尔超秋,09:00,完,慕尼奇博尔立米诺,2vs1,德拉贡,1vs0
哥斯乙,09:00,完,阿瑟里,2vs3,贝伦蝎子,1vs1
乌拉业余杯,09:00,完,国都佛罗里达,5vs2,佛罗里达州,3vs2
乌拉业余杯,09:00,完,塔库兰博,2vs2,杜拉兹,2vs1
巴马全联,09:00,完,陶罗 (后备),0vs2,巴拿马城FC,0vs2
墨西甲秋,09:05,完,CA拉巴斯,0vs0,亚特兰特,0vs0
乌拉业余杯,09:10,完,科洛卡皮特,2vs0,圣何塞因尔,1vs0
乌拉业余杯,09:10,完,圣何塞首都,2vs1,科洛尼亚内,0vs0
萨尔超秋,09:15,完,阿利安萨圣萨尔瓦多,5vs0,霍科罗,2vs0
萨尔超秋,09:30,完,CD法斯,0vs0,萨卡特科卢卡,0vs0
巴马甲,09:30,完,旧金山,2vs1,维拉加斯FC,0vs0
危地乙,10:00,完,米特兰,3vs0,巴韦雷纳,2vs0
危地乙,10:00,完,马昆森,5vs0,尤文都德科帕雷拉,2vs0
危地乙,10:00,完,奎切,3vs0,德莫克拉西亚,3vs0
巴马全联,10:10,完,埃雷拉 (后备),1vs1,马里奥门德斯,1vs1
美冠杯,11:00,完,温哥华白帽(中),1vs1,塔格雷斯,1vs0
大冠杯,11:00,完,雷瓦,0vs0,劳托卡,0vs0
墨西甲秋,11:05,完,西玛罗雷斯索诺拉,1vs2,塔巴蒂奥,1vs1
墨西联秋,11:10,完,帕丘卡,3vs2,利昂,1vs2
印德联,13:40,完,加尔瓦尔,1vs0,皇家游骑兵,1vs0
球会友谊,15:00,完,莫斯科火车头(中),2vs0,莫斯科鱼雷,2vs0
球会友谊,16:00,完,亚历山德里亚,1vs2,哈维德夫,0vs2
球会友谊,16:00,完,卡马斯,3vs2,柴卡,0vs0
球会友谊,16:00,完,新西伯利亚,0vs1,卡卢咖,0vs0
球会友谊,16:00,完,迪拜城,2vs8,乌拉尔图,1vs3
印德联,16:10,完,塔伦桑加,2vs0,兰杰斯,1vs0
球会友谊,16:30,完,B93哥本哈根,1vs0,莱格尼察,0vs0
球会友谊,16:30,完,韦莱斯莫斯科,3vs0,切塔罗沃莫斯科,0vs0
球会友谊,17:00,完,阿尔达克尔贾利(中),0vs3,杜保尔,0vs2
球会友谊,17:00,完,提比利锡戴拿模,1vs0,瓦尔麦斯,1vs0
阿尔U21,17:00,完,比斯克拉 U21,1vs1,绍乌拉 U21,1vs0
澳维超,17:15,完,南墨尔本,1vs0,墨尔本骑士,1vs0
印度乙,17:30,完,孟加拉鲁联合会,2vs2,联合会SC,2vs1
印度乙,17:30,完,SC班加罗尔,2vs1,苏德瓦德里,1vs1
球会友谊,18:00,完,达拉斯(中),1vs4,马尔默,0vs2
球会友谊,18:00,完,斯巴达瑟拉梅,4vs2,伊斯卡勒布尼察,2vs1
球会友谊,18:00,完,马尔默(中),0vs4,博德闪耀,0vs2
阿塞甲,18:00,完,MOIK巴古,0vs1,卡云艾夫拉克,0vs0
印孟联,18:00,完,CFCI,0vs1,希望联合,0vs0
国际友谊,18:00,完,英格兰 U17(女)(中),5vs0,苏格兰 U17(女),2vs0
伊朗杯,18:30,完,乔卡塔利什,0vs3,泰拉克托,0vs0
伊朗杯,18:30,完,海达里耶,0vs6,迈斯科曼,0vs3
伊朗杯,18:30,完,瓦尔扎甘,1vs1,谢纳瓦尔萨齐,0vs0
伊朗杯,18:30,完,尼洛耶扎米尼,1vs1,法加尔瑟帕斯,0vs0
阿塞甲,18:30,完,迪法伊阿格苏,4vs0,阿拉兹萨特利,2vs0
印度乙,18:30,完,甸普,0vs2,肯克雷,0vs2
印度乙,18:30,完,SC果阿,2vs0,马哈拉施特奥兰治,2vs0
印喀联,18:30,完,喀拉拉邦警察,0vs2,蒂鲁尔体育学院,0vs0
球会友谊,19:00,完,迪拿,2vs3,加雷捷,1vs1
球会友谊,19:00,完,梅西亚英佩尔,1vs2,桑恩达,0vs1
伊朗杯,19:00,完,塞帕卡拉杰(中),1vs0,帕斯约努比贾姆,1vs0
阿塞甲,19:00,完,埃涅尔格提克,0vs1,沙马基,0vs0
叙利亚乙,19:00,完,肖特哈马,1vs3,塔尔图斯,1vs0
国际友谊,19:00,完,土耳其 U17(女),3vs2,斯洛伐克 U17(女),2vs1
