league_type,match_time,match_duration,team1,score,team2,half_score
韩篮甲,02月09日15:00,第4节,高阳索诺天枪,170,首尔三星雷电,99
NBA,02月09日09:00,完,孟菲斯灰熊,228,芝加哥公牛,108
NBA,02月09日09:00,完,密尔沃基雄鹿,234,明尼苏达森林狼,116
NCAA,02月09日09:00,完,奧斯汀皮,154,肯尼索州立,79
NCAA,02月09日09:00,完,北达科达,177,内布拉斯加奥马哈,82
NCAA,02月09日09:00,完,北达科达州立,160,密苏里大学堪萨斯城分校,69
NCAA,02月09日09:00,完,北科罗拉多,143,蒙他拿州立,71
NCAA,02月09日09:00,完,北亚里桑那,160,蒙大拿大学,82
NCAA,02月09日09:00,完,查尔斯顿学院,138,北卡罗来纳农工,67
NCAA,02月09日09:00,完,科罗拉多大学,152,亚里桑那州立,79
NCAA,02月09日09:00,完,南达科达,178,丹佛,87
NCAA,02月09日09:00,完,圣托马斯大学,148,欧洛罗伯滋,83
NCAA,02月09日09:00,完,犹他,204,亚里桑那,66
NCAA,02月09日09:00,完,犹他河谷,133,塔尔顿,61
墨ABE联,02月09日09:00,完,CETYS墨西哥,100,UP墨西哥,57
墨ABE联,02月09日09:00,完,瓜达拉哈拉,171,普埃布拉,82
阿篮甲,02月09日09:00,完,奥利维亚独立队,133,斯伯迪沃苏亚迪,71
萨尔U21,02月09日09:00,完,ITD圣塔克拉M1 U21,156,阿尔森斯U21,71
美洲冠,02月09日09:10,完,安佐阿特吉角斗士,173,埃斯特利,85
阿篮联,02月09日09:15,完,联合队,154,阿根廷胡宁竞技,74
NCAA,02月09日09:30,完,东南密苏里州立,157,田纳西理工,77
NCAA,02月09日09:30,完,林登伍德,120,田纳西州立,55
NCAA,02月09日09:30,完,南印第安纳,152,东伊利诺,58
NCAA,02月09日09:30,完,西伊利诺,123,阿肯色-小岩城,56
NBA,02月09日10:00,完,菲尼克斯太阳,244,犹他爵士,141
NCAA,02月09日10:00,完,阿拉巴马伯明翰,149,佛罗里达大西洋,71
NCAA,02月09日10:00,完,爱达荷州立,108,薩克拉門托州立,49
NCAA,02月09日10:00,完,加州大学戴维斯分校,129,富尔顿分校,61
NCAA,02月09日10:00,完,摩尔海德州立,147,SIU-艾德华兹维尔,63
NCAA,02月09日10:00,完,韦伯州立,156,波特兰州立,71
NCAA,02月09日10:00,完,犹他理工大学,138,南犹他大学,58
墨ABE联,02月09日10:00,完,蝎子,161,UNAM,82
萨尔U21,02月09日10:45,完,布鲁乔斯U21,120,圣马科斯U21,61
NBA,02月09日11:00,完,洛杉矶湖人,220,丹佛掘金,108
NBA,02月09日11:00,完,波特兰开拓者,250,底特律活塞,127
NCAA,02月09日11:00,完,加州州立-北岭,143,加州理工州立,63
NCAA,02月09日11:00,完,俄勒岗,165,华盛顿,74
NCAA,02月09日11:00,完,俄勒岗州立,122,华盛顿州立,53
NCAA,02月09日11:00,完,加州河滨,128,贝克斯菲尔德,60
NCAA,02月09日11:00,完,加州浸会,127,德州-阿灵顿,52
NCAA,02月09日11:00,完,圣塔巴巴拉,137,加州尔湾,57
NCAA,02月09日11:00,完,西雅图大学,127,阿比利基督大学,71
NBA-G,02月09日11:00,完,阿瓜卡连特快船,228,俄克拉荷马城蓝色,111
NCAA,02月09日12:00,完,培波岱安,154,三藩市,68
韩篮甲,02月09日13:00,完,水原音速弹,155,原州东浦新世代,73
NCAA,02月09日13:00,完,夏威夷,180,加州-圣地亚哥,71
韩女甲,02月09日13:00,完,BNK釜山萨姆女篮,131,龙仁三星女篮,70
NBL(A),02月09日14:30,完,新西兰破坏者,173,伊拉瓦拉老鹰,83
