league_type,match_time,match_duration,team1,score,team2,half_score
澳亚U23,15:15,70,华勒比市U23,0vs2,北部吉隆勇士U23,0vs2
澳亚U23,15:15,75,诺斯科特市U23,1vs5,墨尔本胜利U23,1vs5
澳亚U23,15:30,48,布伦瑞克城U23,1vs0,东方狮子U23,1vs0
巴圣锦标,08:00,完,彭美拉斯SP,2vs0,伊图阿诺SP,1vs0
巴米联,08:00,完,竞技俱乐部MG,0vs2,米内罗竞技,0vs0
阿甲,08:15,完,乌拉坎,0vs0,独立队,0vs0
里约锦TG,08:15,完,华斯高RJ(中),1vs0,奥达斯里奥RJ,1vs0
自由杯,08:30,完,奥卡斯,1vs0,那西昂诺,0vs0
里约锦TG,08:30,完,富明尼斯RJ,1vs0,森柏欧RJ,0vs0
巴圣锦标,08:30,完,古兰尼SP,0vs1,国际里梅拉SP,0vs0
墨西甲秋,09:05,完,莫雷利亚竞技,3vs1,提拉卡拉,2vs1
墨西女超秋,09:06,完,艾特莱 (女),0vs4,提华纳 (女),0vs3
哥伦甲春,09:20,完,帕特里奥坦斯,0vs0,国家体育会,0vs0
巴马甲,09:30,完,阿拉比,2vs0,佩拉札阿马多尔,1vs0
哥斯甲秋,10:00,完,阿拉伦斯,3vs2,朋塔雷纳斯,0vs1
墨西女超秋,11:10,完,华雷斯 (女),3vs2,马萨特兰 (女),0vs2
印孟超,13:50,完,青年枪手足球俱乐部,2vs2,西区联合,0vs1
印德联,14:00,完,CISF保护者,2vs2,瓦蒂卡,1vs1
