league_type,match_time,match_duration,team1,team2,team1_score,team2_score,team1_half_score,team2_half_score
澳亚U23,15:15,70,华勒比市U23,北部吉隆勇士U23,0,2,0,2
澳亚U23,15:15,75,诺斯科特市U23,墨尔本胜利U23,1,5,1,5
澳亚U23,15:30,48,布伦瑞克城U23,东方狮子U23,1,0,1,0
巴圣锦标,08:00,完,彭美拉斯SP,伊图阿诺SP,2,0,1,0
巴米联,08:00,完,竞技俱乐部MG,米内罗竞技,0,2,0,0
阿甲,08:15,完,乌拉坎,独立队,0,0,0,0
里约锦TG,08:15,完,华斯高RJ(中),奥达斯里奥RJ,1,0,1,0
自由杯,08:30,完,奥卡斯,那西昂诺,1,0,0,0
里约锦TG,08:30,完,富明尼斯RJ,森柏欧RJ,1,0,0,0
巴圣锦标,08:30,完,古兰尼SP,国际里梅拉SP,0,1,0,0
墨西甲秋,09:05,完,莫雷利亚竞技,提拉卡拉,3,1,2,1
墨西女超秋,09:06,完,艾特莱 (女),提华纳 (女),0,4,0,3
哥伦甲春,09:20,完,帕特里奥坦斯,国家体育会,0,0,0,0
巴马甲,09:30,完,阿拉比,佩拉札阿马多尔,2,0,1,0
哥斯甲秋,10:00,完,阿拉伦斯,朋塔雷纳斯,3,2,0,1
墨西女超秋,11:10,完,华雷斯 (女),马萨特兰 (女),3,2,0,2
印孟超,13:50,完,青年枪手足球俱乐部,西区联合,2,2,0,1
印德联,14:00,完,CISF保护者,瓦蒂卡,2,2,1,1
