league_type,match_time,match_duration,team1,team2,team1_score,team2_score,team1_half_score,team2_half_score
哥伦甲春,补8',90+1,佩雷拉,福塔雷扎CEIF,2,0,1,0
巴圣锦标,06:00,中,迈拉索尔SP,圣安德雷SP,3,0,3,0
巴伯联,06:00,中,瑞特PE,马古利PE,0,0,0,0
巴高联,06:00,中,古亚尔尼巴热RS,塞卡西亚斯RS,0,0,0,0
巴伊联,06:00,中,庞巴尔,圣保罗水晶PB,0,1,0,1
巴卡皮联,06:00,中,维多利亚ES,费罗维里亚ES,1,0,1,0
墨康杯,06:00,中,颂娜C队,洛斯卡沃斯联,1,1,1,1
巴皮联,06:00,48,富明尼斯PI,科瑞萨巴PI,2,0,2,0
巴圣锦标,08:00,完,甘美奥诺瓦里桑蒂诺SP,红牛伯拉根森SP,0,2,0,0
阿后备,08:00,完,科尔多瓦圣地亚哥中央 (后备),塔勒雷斯 (后备),1,0,0,0
阿后备,08:00,完,独立队 (后备),萨尔米安杜竹宁 (后备),1,0,1,0
自由杯,08:30,完,欧若拉,梅加,1,0,1,0
里约锦TG,08:30,完,法林明高RJ,博塔福格RJ,1,0,0,0
巴圣锦标,08:30,完,圣贝纳多SP,波图加沙SP,1,0,1,0
巴卡德联,08:30,完,积安维尔SC,阿瓦伊SC,2,2,0,2
巴高联,08:30,完,圣塔库鲁RS,国际体育会RS,0,2,0,2
巴巴亚联,08:30,完,巴海亚BA,伊塔布纳BA,5,0,1,0
巴圣锦标,08:35,完,圣保罗SP,阿故圣塔SP,3,0,1,0
阿根廷杯,08:45,完,河床(中),伊希库斯尼斯塔,3,0,0,0
乌拉业余杯,08:50,完,国都洗衣厂,三十三内陆,7,0,3,0
乌拉业余杯,08:50,完,特雷斯省,内拉瓦莱哈,6,0,3,0
美冠杯,09:00,完,霍格,瓜达拉哈拉芝华士,1,3,1,2
哥伦甲春,09:00,完,米伦拿列奥,卡利阿美利加,1,0,0,0
萨尔超秋,09:00,完,慕尼奇博尔立米诺,德拉贡,2,1,1,0
哥斯乙,09:00,完,阿瑟里,贝伦蝎子,2,3,1,1
乌拉业余杯,09:00,完,国都佛罗里达,佛罗里达州,5,2,3,2
乌拉业余杯,09:00,完,塔库兰博,杜拉兹,2,2,2,1
巴马全联,09:00,完,陶罗 (后备),巴拿马城FC,0,2,0,2
墨西甲秋,09:05,完,CA拉巴斯,亚特兰特,0,0,0,0
乌拉业余杯,09:10,完,科洛卡皮特,圣何塞因尔,2,0,1,0
乌拉业余杯,09:10,完,圣何塞首都,科洛尼亚内,2,1,0,0
萨尔超秋,09:15,完,阿利安萨圣萨尔瓦多,霍科罗,5,0,2,0
萨尔超秋,09:30,完,CD法斯,萨卡特科卢卡,0,0,0,0
巴马甲,09:30,完,旧金山,维拉加斯FC,2,1,0,0
危地乙,10:00,完,米特兰,巴韦雷纳,3,0,2,0
危地乙,10:00,完,马昆森,尤文都德科帕雷拉,5,0,2,0
危地乙,10:00,完,奎切,德莫克拉西亚,3,0,3,0
巴马全联,10:10,完,埃雷拉 (后备),马里奥门德斯,1,1,1,1
美冠杯,11:00,完,温哥华白帽(中),塔格雷斯,1,1,1,0
大冠杯,11:00,完,雷瓦,劳托卡,0,0,0,0
墨西甲秋,11:05,完,西玛罗雷斯索诺拉,塔巴蒂奥,1,2,1,1
墨西联秋,11:10,完,帕丘卡,利昂,3,2,1,2
印德联,13:40,完,加尔瓦尔,皇家游骑兵,1,0,1,0
球会友谊,15:00,完,莫斯科火车头(中),莫斯科鱼雷,2,0,2,0
球会友谊,16:00,完,亚历山德里亚,哈维德夫,1,2,0,2
球会友谊,16:00,完,卡马斯,柴卡,3,2,0,0
球会友谊,16:00,完,新西伯利亚,卡卢咖,0,1,0,0
球会友谊,16:00,完,迪拜城,乌拉尔图,2,8,1,3
印德联,16:10,完,塔伦桑加,兰杰斯,2,0,1,0
球会友谊,16:30,完,B93哥本哈根,莱格尼察,1,0,0,0
球会友谊,16:30,完,韦莱斯莫斯科,切塔罗沃莫斯科,3,0,0,0
球会友谊,17:00,完,阿尔达克尔贾利(中),杜保尔,0,3,0,2
球会友谊,17:00,完,提比利锡戴拿模,瓦尔麦斯,1,0,1,0
阿尔U21,17:00,完,比斯克拉 U21,绍乌拉 U21,1,1,1,0
澳维超,17:15,完,南墨尔本,墨尔本骑士,1,0,1,0
印度乙,17:30,完,孟加拉鲁联合会,联合会SC,2,2,2,1
印度乙,17:30,完,SC班加罗尔,苏德瓦德里,2,1,1,1
球会友谊,18:00,完,达拉斯(中),马尔默,1,4,0,2
球会友谊,18:00,完,斯巴达瑟拉梅,伊斯卡勒布尼察,4,2,2,1
球会友谊,18:00,完,马尔默(中),博德闪耀,0,4,0,2
阿塞甲,18:00,完,MOIK巴古,卡云艾夫拉克,0,1,0,0
印孟联,18:00,完,CFCI,希望联合,0,1,0,0
国际友谊,18:00,完,英格兰 U17(女)(中),苏格兰 U17(女),5,0,2,0
伊朗杯,18:30,完,乔卡塔利什,泰拉克托,0,3,0,0
伊朗杯,18:30,完,海达里耶,迈斯科曼,0,6,0,3
伊朗杯,18:30,完,瓦尔扎甘,谢纳瓦尔萨齐,1,1,0,0
伊朗杯,18:30,完,尼洛耶扎米尼,法加尔瑟帕斯,1,1,0,0
阿塞甲,18:30,完,迪法伊阿格苏,阿拉兹萨特利,4,0,2,0
印度乙,18:30,完,甸普,肯克雷,0,2,0,2
印度乙,18:30,完,SC果阿,马哈拉施特奥兰治,2,0,2,0
印喀联,18:30,完,喀拉拉邦警察,蒂鲁尔体育学院,0,2,0,0
球会友谊,19:00,完,迪拿,加雷捷,2,3,1,1
球会友谊,19:00,完,梅西亚英佩尔,桑恩达,1,2,0,1
伊朗杯,19:00,完,塞帕卡拉杰(中),帕斯约努比贾姆,1,0,1,0
阿塞甲,19:00,完,埃涅尔格提克,沙马基,0,1,0,0
叙利亚乙,19:00,完,肖特哈马,塔尔图斯,1,3,1,0
国际友谊,19:00,完,土耳其 U17(女),斯洛伐克 U17(女),3,2,2,1
以丙,19:15,完,加兰苏瓦,夏普尔比内福迪斯,3,0,0,0
伊朗杯,19:30,完,纳夫特,埃斯特格拉尔,0,0,0,0
伊朗杯,19:30,完,高尔高赫,尼卡岶里斯,0,0,0,0
伊朗杯,19:30,完,扎巴汉,德黑兰起亚,3,0,0,0
球会友谊,20:00,完,南塔,布达尔斯,2,1,1,0
球会友谊,20:00,完,加加纪亚,弗洛雷斯蒂,4,0,1,0
球会友谊,20:00,完,西雅图海湾人,奥丹斯,0,3,0,1
球会友谊,20:00,完,孔波齐矿,PFC蒙大拿,0,7,0,1
球会友谊,20:00,完,PFC索治,索菲亚斯拉维亚,1,0,0,0
埃塞超,20:00,完,锡达马(中),NIGD银行,2,1,1,1
国际友谊,20:00,完,孟加拉 U19(女),印度 U19(女),1,1,0,1
沙地乙B,20:25,完,朱拜勒,阿尔舒伊布,3,1,2,1
伊朗杯,20:30,完,弗兰候萨斯坦,查多玛路,0,1,0,0
埃及甲,20:30,完,萨奇亚多坎,波图苏伊士,3,0,1,0
埃及甲,20:30,完,卡巴阿斯玛利,开罗FC,0,0,0,0
埃及甲,20:30,完,哈比,阿洛埃及,1,1,0,0
埃及甲,20:30,完,伊蒂哈阿修塔,柏迪福阿德,1,1,1,0
埃及甲,20:30,完,阿尔梅雷赫塞得港,苏伊士,0,1,0,1
沙地乙B,20:40,完,德拉伊耶,瓦吉,1,1,0,1
埃及甲,20:40,完,萨母斯,奈梅特西奈,3,0,1,0
芬联杯,20:45,完,哈卡(中),施拿钟基,1,2,0,1
沙地乙B,20:50,完,阿尔萨克尔,阿尔萨德利雅得,3,0,1,0
沙地乙B,20:50,完,图韦克,阿拉尔,3,0,0,0
阿塞杯,21:00,完,兹拉,萨巴伊,3,0,2,0
芬联杯,21:00,完,古比斯(中),VPS华沙,5,0,3,0
球会友谊,21:00,完,斯达(中),拜尼,1,1,0,1
球会友谊,21:00,完,乌拉尔II队,下塔吉尔,2,2,0,0
